	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	fladdermüß	fladermüß	1	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
1	Co D1	III_14_0082	Dollern (Dolleren), Dollern	6.93211, 47.80559	fladdermüs	fladdermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
2	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	fladermus	flädermus	1	fladermus	fledermus	1	Fledermaus	Fledermaus	0
3	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	fladermüs	fledermaus	3	fladermüs	fledermaus	3	Fledermaus	Fledermaus	0
4	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	fladdemus	fladdermus	1	fladermus	fladermus	0	Fledermaus	Fledermaus	0
5	Co D4	III_14_0084	Kirchberg-Wegscheid, Kirchberg	6.95965, 47.79904	fladermus	fladermüs	1	fladermus	fladermüs	1	Fledermaus	Fledermaus	0
6	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	fladrmǖs	fladermüs	2	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
7	Co p 1	III_13_0095	Krüt (Kruth), Krüt	6.96629, 47.92912	fladdermüs	fledermaus, fladdermüs	0	fladermüs	fledermaus, fladermüs	0	Fledermaus	Fledermaus	0
8	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
9	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	fläddermus	flädermus	1	fledermus	fledermus	0	Fledermaus	Fledermaus	0
10	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	fladermuus	fläddermus	3	fladermus	fledermus	1	Fledermaus	Fledermaus	0
11	Co D5	na	Sickert, Niederbruck	6.979, 47.78312	fladermüs	na	999	fladermüs	na	999	Fledermaus	na	999
12	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler	6.98122, 48.93023	fläddermüs	fleddermüs	1	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
13	Co w 2	III_14_0005	Fellerlingen (Fellering), Felleringen	6.98613, 47.89621	fladdermus	fladdermüs	1	fladermus	fladermüs	1	Fledermaus	Fledermaus	0
14	Co w 3	III_14_0006	Hüseren-Weserling (Huseren-Weserling), Hüsern-Weserling	6.98836, 47.88519	flahdermüs	fledermaus	4	fladermüs	fledermaus	3	Fledermaus	Fledermaus	0
15	Hag D 1	na	Hinsingen	6.99156, 48.9525	fleddermüs	na	999	fledermüs	na	999	Fledermaus	na	999
16	Co D7	III_14_0086	Masmünster (Masevaux), Maasmünster	6.99386, 47.7727	fladermüß	fledermaus	4	fladermüs	fledermaus	3	Fledermaus	Fledermaus	0
17	Co x 2	III_14_0007	Mitzach, Mitzach	7.00519, 47.87122	flādermus	fladermus	1	fladermus	fladermus	0	Fledermaus	Fledermaus	0
18	Co x 1	III_14_0008	RanSpach, RanSpach	7.01113, 47.88081	fladdermus	fladermus	1	fladermus	fladermus	0	Fledermaus	Fledermaus	0
19	Co E4	III_14_0087	Aue (Lauw), Aue	7.02216, 47.75778	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
20	Hag E 10	na	Bisert	7.02465, 48.94167	fleddermüs	na	999	fledermüs	na	999	Fledermaus	na	999
21	Co E1	III_14_0088	Oberburbach (Bourbach-Les-Haut), Oberburbach	7.02973, 47.7953	flahdermüs	fladermüs	1	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
22	Co x 5	III_14_0009	St. Amarin, St. Amarin	7.03186, 47.87365	flādrmüs	fladdrmüs	2	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
23	Co q 5	III_13_0096	Mittlach, Mittlach	7.03325, 48.00405	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
24	Co x 3	III_14_0010	MalmerSpach, MalmerSpach	7.03487, 47.86486	fladrmus	fladermüs	2	fladermus	fladermüs	1	Fledermaus	Fledermaus	0
25	Hag E 9	III_5_0027	Harskirchen, Harskirchen	7.0389, 48.93409	fleddermüs	fleddermüs	0	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
26	Co M10	na	Morzweiler (Mortzwiller)	7.04125, 47.73832	fladermüs	na	999	fladermüs	na	999	Fledermaus	na	999
27	Hag E 7	III_5_0024	Keskastel, Keskastel	7.04339, 48.96955	fladdermus	fläddermus	1	fladermus	fledermus	1	Fledermaus	Fledermaus	0
28	Co x 6	III_14_0011	Moosch, Moosch	7.04865, 47.86081	flādermüs	fla̠dermüß	3	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
29	Hag M 12	III_6_0005	Diedendorf, Diedendorf	7.04974, 48.87869	fläddermüs	flädermüs	1	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
30	Hag E 8	III_5_0026	Schopperten, Schopperten	7.05316, 48.94524	fledermüs	fledermüs	0	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
31	Co T16	na	Menglatt (Magny)	7.05408, 47.6019	fladermüs	na	999	fladermüs	na	999	Fledermaus	na	999
32	Co E3	III_14_0090	Sentheim, Sentheim	7.0544, 47.75581	flaadermǖs	flādermuus	4	fladermüs	fladermus	1	Fledermaus	Fledermaus	0
33	Co M2	III_15_0001	Obersulzbach Kreis Tann (Soppe-Le-Haut), Obersulzbach <Morzweiler> Morzweiler steht nur auf S.1	7.05724, 47.73372	fladermüs	flattermüs	2	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
34	Co x 9	III_14_0013	Geishausen, Geishausen	7.05832, 47.88017	fladermus	fladermus	0	fladermus	fladermus	0	Fledermaus	Fledermaus	0
35	Co T9	III_16_0014	Gottestal, Luttern (Valdieu-Lutran), Gottestal	7.05852, 47.63139	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
36	Co E2	III_14_0091	Niederburbach (Bourbach-Le-Bas), Niederburbach	7.05868, 47.77527	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
37	Hag T 2	III_7_0006	Kirberg (Kirrberg), Kirberg	7.06204, 48.8233	flädermüs	flädermüs	0	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
38	Co M7	III_15_0007	St Kosman (Saint-Cosme), St. Kosman	7.06248, 47.68339	flādermüs	fladermüs	1	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
39	Co T1	III_15_0008	Brückensweiler (Bréchaumont), Brückensweiler	7.0684, 47.66973	fladrmüs	fladermüs	1	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
40	Hag M 2	III_6_0002	Pisdorf (Bischtroff-sur-Sarre), Pisdorf	7.06995, 48.9005	fleddermüs	fleddermüs	0	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
41	Co x 4	na	Weiler	7.07073, 47.84351	flädermus	na	999	fledermus	na	999	Fledermaus	na	999
42	Co E13	III_14_0092	Rammersmatt, Rammersmatt	7.07084, 47.78935	fladermüs	fladermŭes	2	fladermüs	fladermues	2	Fledermaus	Fledermaus	0
43	Co i 3	III_13_0008	Metzeral, Metzeral	7.07146, 48.01325	fladdermües	fladermüs	2	fladermües	fladermüs	1	Fledermaus	Fledermaus	0
44	Co M6	III_15_0004	Bretten Landkreis Altkirch, Bretten	7.0716, 47.69963	flådermūs	fladermüs	2	fladermus	fladermüs	1	Fledermaus	Fledermaus	0
45	Co q 4	III_13_0097	Sondernach, Sondernach	7.07276, 47.99621	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
46	Hag M 11/1, Hag M 11/2	III_6_0003	Wolfskirchen, Wolfskirchen	7.07612, 48.87884	fledermüs, flädermüs	fledermüs	0	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
47	Hag M 1	III_5_0034	Zollingen, Zollingen	7.07636, 48.91048	fläddermüs	fläddermüß	1	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
48	Co E9	III_14_0089	Tann-Bitschweiler (Bitschwiller-Lès-Thann), Bitschweiler	7.07947, 47.82929	fladermüs	flādrmüs	2	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
49	Hag T 4	III_7_0013	Goerlingen, Görlingen	7.08247, 48.79646	fleddermus	fledermüs	2	fledermus	fledermüs	1	Fledermaus	Fledermaus	0
50	Hag x 2	III_4_0053	Herbitzheim, Herbitzheim	7.08355, 49.01459	fledermus	fledermus	0	fledermus	fledermus	0	Fledermaus	Fledermaus	0
51	Hag E 5	III_5_0033	Saarwerden (Sarrewerden), Saarwerden	7.08411, 48.9218	fleddermüß	flettermüs	3	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
52	Hag M 10	III_6_0012	Bärendorf (Baerendorf), Bärendorf	7.08463, 48.83742	flädermus	fledermus	1	fledermus	fledermus	0	Fledermaus	Fledermaus	0
53	Hag E 6/2, Hag E 6/1	III_5_0028, III_5_0029	Saarbuckenheim (Sarre-Union), Saarbuckenheim	7.08686, 48.93919	fläddermüs, fladdermus	fledermüs, fleddermüs	1	fledermüs, fladermus	fledermüs	0	Fledermaus	Fledermaus	0
54	Co i 10	III_13_0007	Mühlbach (Muhlbach-Sur-Munster), Mühlbach	7.08731, 48.02582	flādermüß	fladermüs	2	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
55	Co E5	na	Rodern	7.0877, 47.77839	flädermüs	na	999	fledermüs	na	999	Fledermaus	na	999
56	Hag x 1	III_4_0044	Silzheim (Siltzheim), Silzheim	7.09071, 49.0616	fledermus	fleddermus	1	fledermus	fledermus	0	Fledermaus	Fledermaus	0
57	Co M3	III_15_0003	Niedersulzbach (soppe-Le-Bas), Niedersulzbach	7.09079, 47.71688	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
58	Co M1	III_15_0002	Gewenheim, Gewenheim	7.0913, 47.75291	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
59	Co T2	na	Niedertraubach (traubach-Le-Haute)	7.09169, 47.66903	fladermus	na	999	fladermus	na	999	Fledermaus	na	999
60	Co T8	III_16_0017	Retzweiler, Retzweiler	7.09315, 47.63072	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
61	Co E6	III_14_0093	Leimbach, Leimbach	7.09999, 47.79305	fladermüs	fladermüüs	1	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
62	Co i 7	III_13_0006	Breitenbach (Breitenbach-Haut-Rhin), Breitenbach	7.10087, 48.02382	flādermüß	fladdermüs	3	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
63	Co i 9	III_13_0004, III_13_0003	Stosweier, Stosweier	7.10163, 48.05432	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
64	Co i 2	III_13_0009	Sulzern (Soultzeren), Sulzern	7.10254, 48.06373	fladermǖs	fladermüs	1	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
65	Co x 7	III_14_0014	Goldbach-Altenbach, Goldbach-Altenbach	7.10326, 47.87359	flādermūs	fladermuus	3	fladermus	fladermus	0	Fledermaus	Fledermaus	0
66	Co E7	III_14_0094	Tann (Thann), Thann	7.10335, 47.81019	flādermüs	fladermüs	1	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
67	Co T11	III_16_0019	Mansbach (ManSpach), Mansbach	7.10508, 47.6176	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
68	Hag T 3	III_7_0008	Rauweiler, Rauweiler	7.10907, 48.81139	fleddermüs	fläddermüs	1	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
69	Hag M 3	III_6_0004	Burbach, Burbach	7.11226, 48.90144	flahdermüs	fleddermüs	2	fladermüs	fledermüs	1	Fledermaus	Fledermaus	0
70	Co M9	III_15_0009	Diefmatten Kreis Altkirch, Diefmatten	7.11319, 47.70828	fladermus	fladermüs	1	fladermus	fladermüs	1	Fledermaus	Fledermaus	0
71	Co T7	III_16_0007	Wolfersdorf, Wolfersdorf	7.1132, 47.63625	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
72	Hag T 1	III_6_0011	Hirschland, Hirschland	7.11324, 48.83701	fläddermüs	flädermüs	1	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
73	Co T12	III_16_0002	Altenach, Altenach	7.11466, 47.60658	fladdermus	fladermüs	2	fladermus	fladermüs	1	Fledermaus	Fledermaus	0
74	Hag M 8	III_6_0007	Eschweiler (Eschwiller), Eschweiler	7.11652, 48.8596	fleddermüs	fleddermūs	1	fledermüs	fledermus	1	Fledermaus	Fledermaus	0
75	Co i 6	III_13_0005	Luttenbach (Luttenbach-Près-Munster), Luttenbach	7.11745, 48.03105	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
76	Co T13	III_16_0003	St. Ulrich bei Dammerkirch, St. Ulrich	7.11911, 47.59537	fladermüs	flaedermüüs	2	fladermüs	flaedermüs	1	Fledermaus	Fledermaus	0
77	Co T6	III_16_0018	Dammerkirch (Dannemarie), Dammerkirch	7.1214, 47.63024	fladdermüüs	fladermüs	2	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
78	Co E8	III_14_0095	Alttann (Vieux-Thann), Alttann	7.12206, 47.80704	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
79	Co q 8	III_13_0102	Sengern, Sengern	7.12209, 47.94246	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
80	Hag E 4	III_5_0032	Rimsdorf, Rimsdorf	7.12568, 48.92923	fläddermüs	fläddermüs	0	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
81	Co i 5	III_13_0002	Hohrod, Hohrod	7.12607, 48.05444	fladermüs	fladdermüs	1	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
82	Hag E 1	III_4_0050	Örmingen (Oermingen), Örmingen	7.12881, 49.00062	flädermüs	fledermüs	1	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
83	Co q 1	III_13_0098	Lintal (Linthal, Kreis Tann), Lintal	7.12943, 47.94619	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
84	Hag M 7	III_6_0016	Eyweiler (Eywiller), Eyweiler	7.13172, 48.8709	fläddermüs	fleddermüs	1	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
85	Co i 1/2, Co i 1/1	III_13_0065	Münster (Munster), Münster	7.13185, 48.0418	fladērmüs, fladermüs	flădermüs	1	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
86	Co T5	III_16_0004	Gommersdorf, Gommersdorf	7.13318, 47.64299	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
87	Co E10	III_14_0098	Oberasbach (ASpach-Le-Haute), OberaSpach	7.13352, 47.77692	fladermüs	fladrmüs	1	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
88	Co M8	III_15_0011, III_15_0010	Gildweiler (Gildwiller), Falkweiler, Hecken, Falkweiler, Gildweiler	7.13461, 47.6894	flādermǖs	fledermaus, fladermüs	2	fladermüs	fledermaus, fladermüs	0	Fledermaus	Fledermaus	0
89	Co i 8	III_13_0001	Hohrodberg, Hohrodberg	7.13528, 48.06037	fladermüs	flàdermüs	1	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
90	Co Vc 2	III_16_0011	Hindlingen, Hindlingen	7.13734, 47.57341	fladermǖs	flädermüs	2	fladermüs	fledermüs	1	Fledermaus	Fledermaus	0
91	Hag E 2	III_5_0030	Völlerdingen (Voellerdingen), Völlerdingen	7.14098, 48.9622	fläddermus	fläddermüs	1	fledermus	fledermüs	1	Fledermaus	Fledermaus	0
92	Hag M 4	na	Tal bei Drulingen (Thal-Drulingen)	7.1452, 48.90983	flädermüs	na	999	fledermüs	na	999	Fledermaus	na	999
93	Co i 4	III_13_0010	Eschbach, Eschbach	7.14594, 48.02896	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
94	Co T14	III_16_0006	Füllern (Fulleren), Füllern	7.14596, 47.59468	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
95	Co q 7	III_13_0099	Lautenbachzell, Lautenbachzell	7.14925, 47.94057	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
96	Co T3	III_16_0008	Büttweiler (Buethwiller), Bütweiler	7.14982, 47.65627	fladermüs	fledermaus	3	fladermüs	fledermaus	3	Fledermaus	Fledermaus	0
97	Co M4	III_15_0014	Oberburnhaupt (Burnhaupt-Le-Haut), Oberburnhaupt	7.14988, 47.72886	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
98	Co Vc 1	III_17_0002	Friesen, Friesen	7.15001, 47.56535	fladermüs	fladdermüs	1	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
99	Co E11	III_14_0099	Niederasbach (ASpach-Le-Bas), NiederaSpach	7.15065, 47.7618	fladermǖs	fladermüs	1	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
100	Hag E 3	III_5_0031	Domfesel, Domfesel	7.15171, 48.95143	fläddermüs	fläddermüs	0	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
101	Hag M 5	III_6_0008	Berg, Berg	7.1532, 48.89487	fleddermus	fläddermüs	2	fledermus	fledermüs	1	Fledermaus	Fledermaus	0
102	Co E12	III_14_0096	Steinbach, Steinbach	7.15487, 47.82041	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
103	Co x 8	III_14_0015	Rimbach bei Gebweiler (Rimbach-près-Guebwiller), Rimbach	7.15658, 47.90483	fladermüs	fladermus	1	fladermüs	fladermus	1	Fledermaus	Fledermaus	0
104	Co T4	III_16_0009	Hagenbach, Hagenbach	7.15712, 47.65028	fladermüs	fladrmus	2	fladermüs	fladermus	1	Fledermaus	Fledermaus	0
105	Hag M 6	III_6_0009	Güngweiler (Gungwiller), Gu[e]ngweiler	7.15771, 48.88171	fleddamüs	flädamüs	2	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
106	Co q 2	III_13_0100	Lautenbach (Kreis Tann), Lautenbach	7.15877, 47.9414	flädermus	fladermüs	2	fledermus	fladermüs	2	Fledermaus	Fledermaus	0
107	Co q 3	III_13_0011	Waserburg Kreis Colmar (Waserbourg), Waserburg	7.15948, 48.00283	fladermūs	fledermaus	3	fladermus	fledermaus	2	Fledermaus	Fledermaus	0
108	Hag M 9	III_6_0010	Weyer, Weyer	7.15976, 48.85488	fladdermüs	fledermüs	2	fladermüs	fledermüs	1	Fledermaus	Fledermaus	0
109	Co M5	III_15_0013	Niederburnhaupt (Burnhaupt-Le-Bas), Niederburnhaupt	7.16039, 47.71674	fladermus	fladermüs	1	fladermus	fladermüs	1	Fledermaus	Fledermaus	0
110	Co q 6	III_13_0101	Murbach, Murbach	7.1604, 47.92318	fladermus	fledermaus	2	fladermus	fledermaus	2	Fledermaus	Fledermaus	0
111	Co T15	III_16_0010	Ballersdorf, Ballersdorf	7.1624, 47.625	fladärmüs	fladermüs	1	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
112	Co Ua 11	III_17_0031	Pfetterhausen (Pfetterhouse), Pfetterhausen	7.16635, 47.50105	fladermüs	fledermaus	3	fladermüs	fledermaus	3	Fledermaus	Fledermaus	0
113	Co N1	III_14_0100	Schweighausem (Schweighouse-Thann), Schweighausen	7.16714, 47.75272	fledermüs	flaͤdermüs	2	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
114	Co N12	III_15_0028	Balschweiler bei Altkirch, Balschweiler	7.1681, 47.66772	fladermūs	fladermüs	1	fladermus	fladermüs	1	Fledermaus	Fledermaus	0
115	Co k 1	III_13_0016	Griesbach (Griesbach-Au-Val), Griesbach	7.17071, 48.03351	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
116	Co k 2	III_13_0015	Günsbach (Gunsbach), Günsbach	7.17323, 48.0464	fladermüs	fladdermüs	1	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
117	Hag F 6	III_5_0041	Mackweiler (Mackwiller), Mackweiler	7.17502, 48.9258	fledermüß	fleddermüß	1	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
118	Hag F 4	III_5_0039	Lorenzen (Lorentzen), Lorenzen	7.1752, 48.95249	fleddermüs	fledermüs	1	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
119	Co Ua 14	III_17_0014	Niedersept (Seppois-le-Bas), Niedersept	7.17622, 47.53614	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
120	Hag N 17	III_6_0017	Berg, Rexingen, Rexingen	7.17654, 48.90012	fledermüs	fledermaus	2	fledermüs	fledermaus	2	Fledermaus	Fledermaus	0
121	Co r 6	III_13_0107	Schweighausen Kreis Gebweiler (Schweighouse bei Lautenbach), Schweighausen	7.17716, 47.93851	flādermǖs	flahdermüß	4	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
122	Co F5	III_14_0016	Wattweiler (Wattwiller), Wattweiler	7.17766, 47.83549	flådermüs	flådermǖs	1	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
123	Co F1	III_14_0101	Uffholz, Uffholz	7.17804, 47.81981	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
124	Co F2	III_14_0097	Sennheim (Cerany), Sennheim	7.17837, 47.80918	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
125	Stra V 1, Stra U 1/2, Stra U 1/1	III_12_0002	Markich (Sainte-Marie-Aux-Marines), Markirch	7.17972, 48.24483	fladermüs, flādermüs	fladermus	1	fladermüs	fladermus	1	Fledermaus	Fledermaus	0
126	Hag N 11	III_6_0025	Bettweiler (Bettwiller), Bettweiler	7.17993, 48.88617	fläddermüs	flädermüs	1	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
127	Co y 1/2, Co y 1/1	III_14_0017	Rimbach-Zell (Rimbachzell), Rimbach-Zell	7.17995, 47.8995	fladermüs, flādermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
128	Co r 9	III_13_0103	Bühl Landkreis Gebweiler (Buhl), Bühl	7.18638, 47.92816	flådermüs	fladermüs	1	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
129	Hag F 5	III_5_0040	Diemeringen, Diemeringen	7.18685, 48.94061	flädermüs	fledermüs	1	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
130	Co Ua 5	III_17_0030	Largitzen, Largitzen	7.1873, 47.56163	fladermüs	flädermüs	1	fladermüs	fledermüs	1	Fledermaus	Fledermaus	0
131	Hag N 13	III_6_0026	Drulingen, Drulingen	7.18979, 48.8662	fleddermüß	flettermüs	3	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
132	Hag F 1	III_5_0037	Dehlingen, Dehlingen	7.19095, 48.98016	flädermüs	flädermüs	0	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
133	Co y 2	na	Jungholtz	7.1923, 47.88825	fladermüs	na	999	fladermüs	na	999	Fledermaus	na	999
134	Co N14	III_15_0027	Bernweiler (Bernwiller), Bernweiler	7.19368, 47.69085	flādrmüs	fladermüs	2	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
135	Hag N 10	III_6_0024	Dürstel (Durstel), Durstel	7.19745, 48.89156	fleddermüs	fläddermüs	1	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
136	Co r 4	III_13_0109	Winzfelden (Wintzfelden), Winzfelden	7.19806, 47.97442	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
137	Co N13	III_15_0029	Enschingen (Saint-Bernard), Enschingen	7.20293, 47.67101	fladermüs	fledermaus	3	fladermüs	fledermaus	3	Fledermaus	Fledermaus	0
138	Co k 11	III_13_0027	Sulzbach (Soultzbach-Les-Bains), Sulzbach	7.20324, 48.03797	fladermüs	fladermus	1	fladermüs	fladermus	1	Fledermaus	Fledermaus	0
139	Hag N 9	III_6_0018	Adamsweiler (Adamswiller), Adamsweiler	7.20348, 48.90463	fläddrmüß	fledermaus, fledermus	4	fledermüs	fledermaus, fledermus	1	Fledermaus	Fledermaus	0
140	Co k 9	III_13_0014	Weier (Wihr-Au-Val), Weier im Tal	7.20558, 48.05217	flādermüs	fladermüs	1	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
141	Hag N 16	III_6_0028	Sieweiler (Siewiller), Sieweiler	7.20676, 48.84318	fledermüs	fledermüs	0	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
142	Co y 4	III_14_0019	Wünheim, Wünheim	7.20969, 47.87406	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
143	Co y 5, Co y 13, Co y 14, Co y 13, 14	III_14_0027	Gebweiler (Guebwiller) , Gebweiler (Guebwiller), Gebweiler	7.21078, 47.9095	flahdermüß, fladermüs, flādermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
144	Co U 6	III_16_0028	KarSpach (CarSpach), KarSpach	7.21307, 47.61448	fladermǖs	fladermüs	1	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
145	Hag F 7	III_5_0050	Waldhambach, Waldhambach	7.21529, 48.92578	fläddrmüß	fläddemüß	1	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
146	Co y 6	III_14_0021	Berrweiler (Berrwiller), Berrweiler	7.21533, 47.8484	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
147	Co N9	na	Ober- und NiederSpechbach (Spechbach-Le-Haut)	7.2159, 47.68086	fladrmüs	na	999	fladermüs	na	999	Fledermaus	na	999
148	Co Ua 12	III_17_0012	Mooslargue, Moos	7.21833, 47.50939	fladermüs	fladrmüs	1	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
149	Co r 2	III_13_0104	Osenbach, Osenbach	7.21903, 47.98623	flēdrmüs	fledirmüs	2	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
150	Hag N 12	III_6_0023	Aßweiler (Aswiller), Asweiler	7.2198, 48.88035	fleddermüs	fleddermüß	1	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
151	Co U 12	III_16_0021, III_16_0020	Hirzbach (Hirtzbach), Hirzbach	7.22017, 47.59449	fladermüs	fledermüs, fladermüs	0	fladermüs	fledermüs, fladermüs	0	Fledermaus	Fledermaus	0
152	Co Ua 6	III_17_0013	Bisel, Bisel	7.22032, 47.53456	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
153	Hag F 2	III_5_0042	Bütten (Butten), Bütten	7.2205, 48.97095	flädermüß	flädemüs	2	fledermüs	fledermüs	0	Fledermaus	Fledermaus	0
154	Co k 8	III_13_0013	Walbach, Walbach	7.22416, 48.06257	fladermüs	fladermüs	0	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
155	Co N11	III_15_0017	Galfingen (Galfingue), Galfingen	7.22481, 47.70563	fladermǖs	fladermüs	1	fladermüs	fladermüs	0	Fledermaus	Fledermaus	0
